Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed,yoy_pct_change
ABBOTTSFIELD,376,148731.3829787234,147000,6298.9670435399885,1972,0,148731.3829787234,223.95551861702128,FALSE,4.6263345195729535
ALBANY,219,289410.9589041096,197000,271983.6241503466,2012,0,289410.9589041096,621.4608127853882,FALSE,20.858895705521473
ALBERTA AVENUE,2312,219032.8719723184,208500,64333.508404623884,1940,0,219032.8719723184,384.8934546280277,FALSE,2.2058823529411766
ALDERGROVE,1608,305922.8855721394,346000,157610.87589457695,1976,0,305922.8855721394,516.4524315920398,FALSE,1.3177159590043925
ALLARD,726,382185.9504132229,349000,649942.39574638,2012,0,382185.9504132229,1704.6454476584013,FALSE,6.402439024390244
ALLENDALE,897,375891.30434782605,368000,89055.37974153152,1952,0,375891.30434782605,485.6317380156076,FALSE,6.204906204906205
AMBLESIDE,1741,367179.2073520959,320500,563330.7480152058,2010,0,367179.2073520959,877.812713957496,FALSE,-15.099337748344372
ANTHONY HENDAY,1,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY BIG LAKE,1,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY CLAREVIEW,3,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY HORSE HILL,6,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY LAKE DISTRICT,1,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY SOUTH,2,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY SOUTHEAST,4,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ANTHONY HENDAY TERWILLEGAR,1,NA,NA,NA,NA,NA,NA,NA,TRUE,NA
ARGYLL,344,332543.60465116275,335000,83134.19279368989,1955,0,332543.60465116275,543.6213284883721,FALSE,4.6875
ASPEN GARDENS,705,393470.21276595694,440500,174099.2234170358,1966,0,393470.21276595694,546.1737475177304,FALSE,-1.7837235228539576
ATHLONE,1036,293746.6216216215,296500,77261.34041598711,1965,0,293746.6216216215,514.3249565637066,FALSE,2.4179620034542317
AVONMORE,979,342275.2808988764,351500,117551.2682904138,1956,0,342275.2808988764,526.9960143003063,FALSE,5.160807778608826
BALWIN,1247,238482.35765837991,260000,68330.68970523191,1962,0,238482.35765837991,507.9629607056937,FALSE,2.766798418972332
BANNERMAN,1163,227317.28288908047,215000,90698.26383393716,1978,0,227317.28288908047,382.1228718830613,FALSE,7.5
BARANOW,448,228920.7589285714,234000,42323.47038327594,2004,0,228920.7589285714,138.84347633928573,FALSE,-1.2658227848101267
BATURYN,1659,292707.3538276071,302500,241524.52338891156,1978,0,292707.3538276071,530.8273164556962,FALSE,1.680672268907563
BEACON HEIGHTS,1126,236790.8525754885,242000,52738.90401070397,1958,0,236790.8525754885,542.2267396092362,FALSE,2.7600849256900215
BEARSPAW,784,417083.5459183671,402000,115517.71288185132,1984,0,417083.5459183671,597.8893992346939,FALSE,1.3871374527112232
BEAUMARIS,1644,317325.72992700554,342750,152250.5529426666,1982,0,317325.72992700554,442.0386307785888,FALSE,0.8088235294117648
BELGRAVIA,933,578065.916398714,521500,300687.3718610718,1953,0,578065.916398714,604.1788563772776,FALSE,0.7729468599033816
BELLE RIVE,1184,417250,431000,111059.18627985196,1999,0,417250,511.880510135135,FALSE,2.7413587604290823
BELLEVUE,471,308404.4585987261,296000,83315.2651415724,1947,0,308404.4585987261,477.2591592356688,FALSE,4.225352112676056
BELMEAD,1357,311471.99705232045,329000,177386.40042563734,1977,0,311471.99705232045,522.9226050110537,FALSE,-1.3493253373313343
BELMONT,1669,269216.5967645298,270000,79407.5388384646,1976,0,269216.5967645298,411.09202756141394,FALSE,1.694915254237288
BELVEDERE,1943,193654.14307771428,219000,78552.22892756965,1972.5,0,193654.14307771428,310.7626212043227,FALSE,3.7914691943127963
BERGMAN,634,271172.71293375385,289250,98457.84687504463,1984,0,271172.71293375385,574.7849353312303,FALSE,-3.8237738985868663
BEVERLY HEIGHTS,1202,287206.32279534114,283500,73669.8863161249,1958,0,287206.32279534114,572.2253552412645,FALSE,2.4390243902439024
BISSET,1206,265989.22056384734,298250,100303.2615723316,1982,0,265989.22056384734,409.91852736318407,FALSE,1.6183986371379897
BLACKBURNE,595,409878.1512605041,404500,121323.6476040713,1997,0,409878.1512605041,566.3245714285714,FALSE,0.24783147459727387
